Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
163,2,4,1,Min 02,-68,65,-95,MCS7,56.9,0.895135,-68,65,-95,MCS7,52.9,0.884751,167.91,419.8246218487,816.71,77.3362917654,0.06
164,2,4,0,Min 03,-68,65,-95,MCS7,55.2,0.895002,-67,65,-95,MCS7,54.1,0.885188,337.61,693.0419594595,875.53,131.6448870006,0
165,2,4,0,Min 04,-67,65,-95,MCS7,56.9,0.895588,-67,65,-95,MCS7,51.7,0.885307,671.01,755.2687068966,839.1,32.0274242273,0
166,2,4,0,Min 05,-67,65,-95,MCS7,57.2,0.89638,-66,65,-95,MCS7,52.9,0.885224,673.39,752.2437316562,856.5,32.8300691018,0
167,2,4,0,Min 06,-68,65,-95,MCS7,55.9,0.897995,-68,65,-95,MCS7,52.9,0.886448,661.47,753.7426262626,847.55,34.5682831914,0
168,2,4,0,Min 07,-67,65,-95,MCS7,57.2,0.897823,-66,65,-95,MCS7,54.1,0.885567,144.63,733.9348360656,855.52,114.2805812426,0.06
169,2,4,1,Min 08,-68,65,-95,MCS7,52,0.897349,-65,65,-95,MCS7,52.9,0.885164,250.06,331.5809302326,431.92,33.6837942035,0
170,2,4,0,Min 09,-68,65,-95,MCS7,57.2,0.897283,-67,65,-95,MCS7,53.2,0.884836,314.04,686.1708866995,844.04,146.0394155554,0
171,3,4,0,Min 00,-67,65,-95,MCS7,56.9,0.904243,-67,65,-95,MCS7,54.1,0.850546,9.98,676.3440384615,868.77,178.5242296638,0.06
172,3,4,0,Min 01,-67,65,-95,MCS7,56.9,0.899158,-68,65,-95,MCS7,54.1,0.870527,660.6,758.3601284797,861.47,34.8007381531,0
173,3,4,1,Min 02,-67,65,-95,MCS7,56.7,0.898926,-67,65,-95,MCS7,49.8,0.875185,142.41,289.9639285714,791.93,69.998448664,0.07
174,3,4,0,Min 03,-67,65,-95,MCS7,55,0.898416,-67,65,-95,MCS7,50.3,0.879606,173.58,647.4715625,868.57,210.7443986689,0
175,3,4,0,Min 04,-66,65,-95,MCS7,56.9,0.898392,-65,65,-95,MCS7,54.1,0.879338,647.95,755.2772258065,848,31.8491086056,0
176,3,4,0,Min 05,-69,65,-95,MCS7,56.9,0.89854,-67,65,-95,MCS7,54.1,0.879757,680.73,757.7150630252,844.91,32.8795221671,0
177,3,4,0,Min 06,-67,65,-95,MCS7,57.2,0.898283,-67,65,-95,MCS7,52.9,0.88028,665.02,755.8932537961,853.62,34.3067631854,0
178,3,4,0,Min 07,-67,65,-95,MCS7,56.9,0.897797,-67,65,-95,MCS7,54.9,0.880877,123.63,729.205361991,849.72,129.9205730697,0.01
179,3,4,1,Min 08,-67,65,-95,MCS7,56.9,0.897673,-66,65,-95,MCS7,52.9,0.880805,162.88,269.2884439834,356.2,37.3755242024,0
180,3,4,0,Min 09,-67,65,-95,MCS7,56.9,0.897434,-67,65,-95,MCS7,54.1,0.880937,315.74,695.3996029777,843,134.4398988039,0
181,4,4,0,Min 00,-68,65,-95,MCS7,56.9,0.89491,-67,65,-95,MCS7,48.9,0.87509,1.49,644.6985350318,976.81,227.2952525842,0.09
182,4,4,0,Min 01,-67,65,-95,MCS7,56.9,0.899167,-68,65,-95,MCS7,54.9,0.88215,645.24,756.1226838966,869.86,35.5597928138,0
183,4,4,1,Min 02,-67,65,-95,MCS7,51.4,0.899484,-67,65,-95,MCS7,44.4,0.882278,1.62,61.2945598194,444.58,61.0661442667,0.01
184,4,4,0,Min 03,-69,65,-95,MCS7,57.2,0.89977,-67,65,-95,MCS7,54.1,0.88416,514.62,739.2846532438,821.35,49.5576070892,0
185,4,4,0,Min 04,-67,65,-95,MCS7,57.2,0.899633,-67,65,-95,MCS7,54.1,0.88347,637.19,754.1630066815,839.89,33.3022651651,0
186,4,4,0,Min 05,-67,65,-95,MCS7,56.7,0.899483,-67,65,-95,MCS7,52.9,0.882884,667.75,756.1122379032,846.47,33.0824959265,0
187,4,4,0,Min 06,-68,65,-95,MCS7,56.9,0.899045,-65,65,-95,MCS7,54.1,0.882852,670,756.6919917012,870.31,35.0191844603,0
188,4,4,0,Min 07,-68,65,-95,MCS7,56.6,0.899036,-67,65,-95,MCS7,54.1,0.881665,51.78,673.5958405172,847.41,225.8605664714,0.02
189,4,4,1,Min 08,-68,65,-95,MCS7,35,0.898821,-67,65,-95,MCS7,34,0.881853,51.58,109.7005700713,783.46,167.0200853814,0
190,4,4,0,Min 09,-67,65,-95,MCS7,56.9,0.900271,-66,65,-95,MCS7,52.4,0.88242,678.53,753.4622253521,842.08,32.5109300945,0
191,5,4,0,Min 00,-68,65,-95,MCS7,56.9,0.894909,-67,65,-95,MCS7,48.3,0.862329,1.17,625.4906912442,854.06,241.6069376245,0.11
192,5,4,0,Min 01,-67,65,-95,MCS7,56.9,0.896419,-67,65,-95,MCS7,54.9,0.872661,667.34,754.8103448276,855.99,33.7145977652,0
193,5,4,1,Min 02,-67,65,-95,MCS7,35,0.898233,-67,65,-95,MCS7,35,0.880273,1.57,89.6255507559,767.21,81.5548191185,0
194,5,4,0,Min 03,-67,65,-95,MCS7,57.2,0.91052,-66,65,-95,MCS7,49.4,0.891032,287.38,738.4727331887,868.29,58.0326347105,0
195,5,4,0,Min 04,-67,65,-95,MCS7,57.2,0.908398,-67,65,-95,MCS7,52.9,0.890031,667.16,753.048608137,868.08,32.8855356863,0
196,5,4,0,Min 05,-67,65,-95,MCS7,56.9,0.907481,-67,65,-95,MCS7,54.9,0.889891,424.52,755.5212164948,1048.66,46.5687167856,0
197,5,4,0,Min 06,-68,65,-95,MCS7,56.9,0.90557,-65,65,-95,MCS7,54.9,0.889413,665.74,753.8187831858,849.62,35.4525271648,0
198,5,4,0,Min 07,-67,65,-95,MCS7,56.9,0.904955,-66,65,-95,MCS7,54.1,0.888524,150.64,698.0253617021,859.18,176.4753710361,0
199,5,4,1,Min 08,-67,65,-95,MCS7,35,0.904923,-67,65,-95,MCS7,35,0.888787,1.62,204.0063368421,837.4,167.3736493178,0.02
200,5,4,0,Min 09,-67,65,-95,MCS7,56.9,0.906691,-67,65,-95,MCS7,54.1,0.891582,672.4,753.7848901099,849.59,32.9778092429,0
201,1,5,0,Min 00,-67,65,-95,MCS7,56.9,0.898458,-68,65,-95,MCS7,49.8,0.840359,1.1,647.7517938144,876.77,221.6942492757,0.1
202,1,5,0,Min 01,-68,65,-95,MCS7,57.2,0.903002,-67,65,-95,MCS7,54.1,0.847455,677.08,755.0690871369,865.9,30.9992882397,0
203,1,5,1,Min 02,-68,65,-95,MCS7,56.6,0.901586,-67,65,-95,MCS7,54.1,0.860602,177.72,431.0656567797,677.73,62.2470432385,0.01
204,1,5,0,Min 03,-66,65,-95,MCS7,56.9,0.902051,-68,65,-95,MCS7,54.1,0.868005,407.48,701.9052401747,866.01,100.6296790306,0
205,1,5,0,Min 04,-67,65,-95,MCS7,56.9,0.901108,-67,65,-95,MCS7,54.1,0.871363,657.09,753.109321663,838.11,34.169773957,0
206,1,5,0,Min 05,-67,65,-95,MCS7,56.9,0.900824,-67,65,-95,MCS7,54.1,0.872491,665.31,753.7046511628,832.9,32.3237101716,0
207,1,5,0,Min 06,-67,65,-95,MCS7,56.7,0.900544,-65,65,-95,MCS7,52.9,0.871554,661.32,758.399916318,844.65,33.4574410795,0
208,1,5,0,Min 07,-67,65,-95,MCS7,56.9,0.900445,-68,65,-95,MCS7,54.1,0.874402,277.55,709.614967033,898.71,112.1716225301,0.03
209,1,5,1,Min 08,-67,65,-95,MCS7,56.9,0.900242,-67,65,-95,MCS7,48.9,0.875031,272.41,440.7147628866,541.62,44.807028027,0.03
210,1,5,0,Min 09,-67,65,-95,MCS7,56.9,0.899979,-68,65,-95,MCS7,49.8,0.875603,441.5,720.7083957219,842.62,89.5093613698,0
211,2,5,0,Min 00,-66,65,-95,MCS7,53.8,0.890654,-67,65,-95,MCS7,54,0.85761,25.34,667.1203153153,874.96,193.9423887079,0.09
212,2,5,0,Min 01,-67,65,-95,MCS7,57.2,0.901638,-66,65,-95,MCS7,54.1,0.870985,670.26,754.3051473923,829.79,31.4346437069,0
213,2,5,1,Min 02,-66,65,-95,MCS7,56.6,0.900295,-67,65,-95,MCS7,49.4,0.876566,271.56,396.549954955,768.59,73.0985046741,0.01
214,2,5,0,Min 03,-69,65,-95,MCS7,56.9,0.899499,-68,65,-95,MCS7,54.9,0.87936,372.27,692.7451293103,827.09,121.3340629817,0
215,2,5,0,Min 04,-67,65,-95,MCS7,56.9,0.899072,-68,65,-95,MCS7,54.1,0.879461,663.94,757.8189519651,869.88,32.4258197196,0
216,2,5,0,Min 05,-67,65,-95,MCS7,56.9,0.899272,-66,65,-95,MCS7,51.4,0.879877,679.93,754.3426304802,892.04,33.5223866958,0
217,2,5,0,Min 06,-67,65,-95,MCS7,57.2,0.899331,-67,65,-95,MCS7,54,0.878665,663.77,753.4386680761,838.97,32.8487438905,0
218,2,5,0,Min 07,-67,65,-95,MCS7,57.2,0.899633,-65,65,-95,MCS7,54.9,0.88011,55.86,716.1261764706,852.83,127.508700244,0.06
219,2,5,1,Min 08,-68,65,-95,MCS7,56.9,0.899836,-67,65,-95,MCS7,54.1,0.880138,204.92,332.6251639344,467.99,43.8190409055,0
220,2,5,0,Min 09,-68,65,-95,MCS7,56.9,0.899231,-68,65,-95,MCS7,50.2,0.880351,304.81,700.8447683924,847.29,133.8889298165,0
221,3,5,0,Min 00,-68,65,-95,MCS7,48.8,0.895773,-66,65,-95,MCS7,54.1,0.858753,1.61,669.2896041667,852.9,196.8143188379,0.03
222,3,5,0,Min 01,-68,65,-95,MCS7,57.2,0.898503,-68,65,-95,MCS7,51.5,0.873352,682.61,759.3989823009,869.8,33.7790115928,0
223,3,5,1,Min 02,-67,65,-95,MCS7,56.9,0.898764,-67,65,-95,MCS7,54.9,0.879483,72.73,291.3918052738,766.45,73.0279632165,0.04
224,3,5,0,Min 03,-67,65,-95,MCS7,56.9,0.897344,-68,65,-95,MCS7,52.1,0.880752,209.9,642.7616335541,848.54,199.2915392658,0
225,3,5,0,Min 04,-67,65,-95,MCS7,54.9,0.89799,-67,65,-95,MCS7,54.1,0.880744,668.56,762.1629661017,872.49,33.362838343,0
226,3,5,0,Min 05,-67,65,-95,MCS7,56.9,0.897511,-67,65,-95,MCS7,51.4,0.879486,632,758.1717155756,843.11,33.8947317566,0
227,3,5,0,Min 06,-68,65,-95,MCS7,53.4,0.897487,-67,65,-95,MCS7,53.5,0.879656,664.48,756.6206882591,844.93,34.2973967322,0
228,3,5,0,Min 07,-67,65,-95,MCS7,56.9,0.897822,-65,65,-95,MCS7,52.9,0.879961,100.69,709.9896336207,854.12,150.1740451916,0
229,3,5,1,Min 08,-67,65,-95,MCS7,56.9,0.898222,-66,65,-95,MCS7,51.7,0.880179,137.51,260.9570322581,351.68,42.9801468273,0.01
230,3,5,0,Min 09,-67,65,-95,MCS7,56.9,0.898043,-68,65,-95,MCS7,53.7,0.880579,179.34,666.8344210526,843.28,184.2677993314,0
231,4,5,0,Min 00,-67,65,-95,MCS7,56.7,0.896659,-67,65,-95,MCS7,54.1,0.879591,1.5,665.697489083,929.02,210.9283899832,0.09
232,4,5,0,Min 01,-67,65,-95,MCS7,56.9,0.897167,-68,65,-95,MCS7,51.8,0.8826,677.75,757.6734978541,854.62,32.5290349141,0
233,4,5,1,Min 02,-67,65,-95,MCS7,51.4,0.898127,-68,65,-95,MCS7,44.4,0.886089,1.58,67.0388085106,754.12,76.0988809705,0.03
234,4,5,0,Min 03,-67,65,-95,MCS7,56.9,0.898311,-68,65,-95,MCS7,54.1,0.884596,409.62,747.5189699571,847.83,55.2074401884,0
235,4,5,0,Min 04,-68,65,-95,MCS7,56.9,0.898204,-67,65,-95,MCS7,52.7,0.8838,661.02,755.5622515213,846.52,32.9510176766,0
236,4,5,0,Min 05,-68,65,-95,MCS7,56.9,0.89852,-68,65,-95,MCS7,54.1,0.883573,666.48,757.1042444444,847.16,31.9897218561,0
237,4,5,0,Min 06,-67,65,-95,MCS7,56.9,0.898799,-68,65,-95,MCS7,51.2,0.883165,680.21,756.3922608696,842.36,32.7587388556,0
238,4,5,0,Min 07,-68,65,-95,MCS7,56.9,0.89919,-66,65,-95,MCS7,54.1,0.883021,51.89,700.9519187359,888.04,191.8238585628,0.03
239,4,5,1,Min 08,-67,65,-95,MCS7,35,0.899133,-65,65,-95,MCS7,35,0.883021,1.29,109.38102,741,168.4072391828,0.01
240,4,5,0,Min 09,-69,65,-95,MCS7,57.2,0.900859,-67,65,-95,MCS7,54.1,0.883747,678.22,758.8307940447,862.46,34.814733645,0
241,5,5,0,Min 00,-68,65,-95,MCS7,56.9,0.890514,-66,65,-95,MCS7,52.9,0.879417,1.56,657.3537061404,871.57,223.1867296949,0.12
242,5,5,0,Min 01,-68,65,-95,MCS7,56.9,0.896914,-66,65,-95,MCS7,50.8,0.883279,342.47,748.6031947484,846.66,46.0033660631,0.01
243,5,5,1,Min 02,-67,65,-95,MCS7,35,0.898947,-67,65,-95,MCS7,35,0.883984,1.5,77.2648076923,197.83,13.2405981325,0
244,5,5,0,Min 03,-67,65,-95,MCS7,35,0.910848,-68,65,-95,MCS7,54.9,0.895523,449.94,745.4677966102,845.39,50.6549211496,0
245,5,5,0,Min 04,-68,65,-95,MCS7,57.2,0.908088,-67,65,-95,MCS7,54.1,0.892904,679.22,755.6838127854,847.75,33.7039101742,0
246,5,5,0,Min 05,-68,65,-95,MCS7,56.9,0.907103,-67,65,-95,MCS7,54.9,0.891158,672.8,755.3116216216,846.19,33.4485356213,0
247,5,5,0,Min 06,-67,65,-95,MCS7,56.9,0.905713,-67,65,-95,MCS7,49.1,0.889216,682.49,757.9201086957,855.23,33.370395976,0
248,5,5,0,Min 07,-68,65,-95,MCS7,55.8,0.904665,-68,65,-95,MCS7,54.1,0.887819,150.58,698.6611752577,870.46,186.6571873852,0
249,5,5,1,Min 08,-67,65,-95,MCS7,35,0.904417,-67,65,-95,MCS7,35,0.887632,1.56,202.2488983051,834.83,166.774712577,0.02
250,5,5,0,Min 09,-69,65,-95,MCS7,56.9,0.906276,-66,65,-95,MCS7,54.1,0.889443,663.01,754.4426767677,852.4,32.4459625106,0
