Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
38,4,1,0,Min 07,-68,65,-95,MCS7,56.9,0.899319,-66,65,-95,MCS7,54.1,0.88098,51.43,699.7368487395,869.29,194.6430952117,0.03
39,4,1,1,Min 08,-67,65,-95,MCS7,35,0.899279,-68,65,-95,MCS7,35,0.881017,1.33,100.3319213974,714.13,152.7279890295,0
40,4,1,0,Min 09,-67,65,-95,MCS7,56.9,0.901288,-67,65,-95,MCS7,54.9,0.881893,665.72,752.9165885417,841.04,33.6964504201,0
41,5,1,0,Min 00,-67,65,-95,MCS7,56.9,0.864634,-66,65,-95,MCS7,54.1,0.831099,1.59,666.3745011086,865.59,214.468930318,0.05
42,5,1,0,Min 01,-67,65,-95,MCS7,56.9,0.897017,-67,65,-95,MCS7,51.1,0.867088,658.21,757.5750542299,872.05,33.9703706461,0
43,5,1,1,Min 02,-67,65,-95,MCS7,35,0.897873,-67,65,-95,MCS7,35,0.876161,1.53,96.2233406593,786.76,106.0004714101,0
44,5,1,0,Min 03,-68,65,-95,MCS7,56.9,0.909866,-68,65,-95,MCS7,54.1,0.890448,170.21,736.238495935,855.75,80.1482433086,0
45,5,1,0,Min 04,-67,65,-95,MCS7,56.9,0.907094,-67,65,-95,MCS7,51.2,0.888391,680.26,758.9107692308,844.4,32.3991128565,0
46,5,1,0,Min 05,-67,65,-95,MCS7,57.2,0.905919,-67,65,-95,MCS7,54.9,0.887901,658.34,750.8461073826,851.41,33.6544583318,0
47,5,1,0,Min 06,-68,65,-95,MCS7,56.9,0.904974,-65,65,-95,MCS7,54.1,0.88691,675.69,757.787881549,843.09,31.9003076202,0
48,5,1,0,Min 07,-67,65,-95,MCS7,57.2,0.904008,-66,65,-95,MCS7,52,0.885825,150.42,696.6222199593,851.31,182.9289863488,0
49,5,1,1,Min 08,-67,65,-95,MCS7,35,0.90383,-67,65,-95,MCS7,35,0.886219,1.58,201.325426009,832.17,159.6859380486,0
50,5,1,0,Min 09,-68,65,-95,MCS7,57.2,0.905686,-66,65,-95,MCS7,54.1,0.888144,686.99,755.3773047859,860.03,32.3044284857,0
51,1,2,0,Min 00,-69,65,-95,MCS7,56.3,0.89695,-67,65,-95,MCS7,54.9,0.879715,20.38,662.4282315789,856.76,204.1551612337,0.09
52,1,2,0,Min 01,-67,65,-95,MCS7,56.9,0.89689,-65,65,-95,MCS7,49.5,0.882977,644.43,757.4470526316,877.51,35.6001308299,0
53,1,2,1,Min 02,-68,65,-95,MCS7,56.9,0.89877,-66,65,-95,MCS7,54.1,0.884683,238.88,461.5329662921,809.88,70.0145219525,0.03
54,1,2,0,Min 03,-68,65,-95,MCS7,56.9,0.898498,-66,65,-95,MCS7,49.7,0.885225,364.35,711.364183908,839.19,89.4252888348,0
55,1,2,0,Min 04,-67,65,-95,MCS7,57.2,0.898856,-67,65,-95,MCS7,50.9,0.885436,679.24,755.1956932773,840.55,31.3808302719,0
56,1,2,0,Min 05,-67,65,-95,MCS7,56.9,0.899359,-66,65,-95,MCS7,54.1,0.884032,658.6,756.2291759465,848.19,33.7213845759,0
57,1,2,0,Min 06,-67,65,-95,MCS7,57.2,0.899218,-67,65,-95,MCS7,54.1,0.883266,669.28,758.9126260504,850.58,33.1367972434,0
58,1,2,0,Min 07,-66,65,-95,MCS7,56.9,0.899283,-65,65,-95,MCS7,54.1,0.883398,361.29,733.8303648069,871.67,84.8918234338,0.03
59,1,2,1,Min 08,-67,65,-95,MCS7,56.9,0.899362,-67,65,-95,MCS7,54.1,0.883671,262.56,411.6836161616,539.6,48.4291288802,0.02
60,1,2,0,Min 09,-69,65,-95,MCS7,55,0.898913,-67,65,-95,MCS7,48.3,0.882964,458.87,746.1119700748,857.13,66.5972795934,0
61,2,2,0,Min 00,-67,65,-95,MCS7,56.9,0.897526,-68,65,-95,MCS7,52.9,0.831324,1.48,646.0814945055,878.91,231.2174365929,0.08
62,2,2,0,Min 01,-69,65,-95,MCS7,50.5,0.895307,-67,65,-95,MCS7,54.1,0.864413,668.64,759.8615505618,858.36,35.6063115359,0
63,2,2,1,Min 02,-67,65,-95,MCS7,54.4,0.896384,-67,65,-95,MCS7,52.7,0.87468,298.44,419.3781380753,571.92,46.9228755812,0.02
64,2,2,0,Min 03,-67,65,-95,MCS7,57.2,0.89633,-67,65,-95,MCS7,54.1,0.877265,368.56,688.5044558522,861.46,130.961506651,0
65,2,2,0,Min 04,-68,65,-95,MCS7,56.6,0.895985,-68,65,-95,MCS7,54.1,0.877573,679.54,756.98234714,882.03,31.8759354338,0
66,2,2,0,Min 05,-68,65,-95,MCS7,56.9,0.896296,-68,65,-95,MCS7,54.1,0.878382,672.63,755.1806557377,906.51,33.4324201761,0
67,2,2,0,Min 06,-67,65,-95,MCS7,56.9,0.896997,-65,65,-95,MCS7,54.1,0.878408,636.91,762.4684598214,853.86,33.6227510877,0
