Test ID,Scenario,Run,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
1,1,1,Min 00,-68,65,-95,MCS7,57.2,0.796053,-67,65,-95,MCS7,54.1,0.854979,27.85,650.9828571429,938.48,210.7285787392,0
2,1,1,Min 01,-68,65,-95,MCS7,57.2,0.901944,-68,65,-95,MCS7,48.3,0.855371,596.55,757.801106383,953.56,39.2509092895,0
3,1,1,Min 02,-70,58.5,-95,MCS6,49.8,0.892914,-69,65,-95,MCS7,46.8,0.839453,508.71,849.6631111111,1163.98,88.1123754462,0
4,1,1,Min 03,-66,65,-95,MCS7,56.9,0.886099,-69,65,-95,MCS7,48.9,0.83204,482.66,755.3820210526,981.19,45.8637738815,0
5,1,1,Min 04,-68,65,-95,MCS7,56.9,0.890595,-68,65,-95,MCS7,50,0.833117,421.89,752.1541086957,1014.32,63.5888216375,0
6,1,1,Min 05,-68,65,-95,MCS7,56.9,0.894128,-67,65,-95,MCS7,54.1,0.833645,670.6,759.6446794872,895.89,34.947784636,0
7,1,1,Min 06,-67,65,-95,MCS7,56.9,0.894751,-68,65,-95,MCS7,48.9,0.841355,645.79,755.2041115702,962.38,40.5598604686,0
8,1,1,Min 07,-68,65,-95,MCS7,56.9,0.896314,-67,65,-95,MCS7,49.5,0.841448,658.92,774.9016877637,1310.65,74.1918104146,0
9,1,1,Min 08,-72,58.5,-95,MCS6,44.5,0.879645,-68,58.5,-95,MCS7,43.7,0.83996,532.55,987.5372515856,1386.11,119.3849834441,0
10,1,1,Min 09,-67,65,-95,MCS7,46.8,0.877138,-68,65,-95,MCS7,54.1,0.829376,678,756.4109390863,850.7,32.236174621,0
11,2,1,Min 00,-66,65,-95,MCS7,57.2,0.90768,-69,65,-95,MCS7,49.8,0.841058,1.5,633.6991235955,903.94,237.6083531916,0.08
12,2,1,Min 01,-68,65,-95,MCS7,56.9,0.902869,-66,65,-95,MCS7,54.1,0.840765,675.95,760.5241004184,862.12,34.7421015184,0
13,2,1,Min 02,-74,52,-95,MCS5,39.2,0.838055,-73,52,-95,MCS5,34.3,0.762808,639.66,1145.3970042194,1687.27,104.174150749,0
14,2,1,Min 03,-67,65,-95,MCS7,56.9,0.837858,-67,65,-95,MCS7,54.1,0.859444,649.03,756.3220638298,1093.42,45.2695096134,0
15,2,1,Min 04,-67,65,-95,MCS7,56.9,0.897681,-68,65,-95,MCS7,54.9,0.868622,654.88,753.851352459,848.17,33.4787874762,0
16,2,1,Min 05,-66,65,-95,MCS7,56.9,0.899038,-67,65,-95,MCS7,53.4,0.762609,669.36,759.3483410138,865.98,34.0216704525,0
17,2,1,Min 06,-68,65,-95,MCS7,57.2,0.898952,-67,65,-95,MCS7,54,0.875731,666.88,753.3829707113,872.94,33.9095544163,0
18,2,1,Min 07,-67,65,-95,MCS7,56.9,0.899294,-67,65,-95,MCS7,51.8,0.876848,352.16,793.8350408163,2379.41,204.4377597488,0.12
19,2,1,Min 08,-76,39,-95,MCS4,33.2,0.89945,-75,39,-95,MCS4,27.6,0.721722,694.99,1369.2568089431,1919.46,212.4428023447,0.01
20,2,1,Min 09,-67,65,-95,MCS7,32.8,0.897737,-66,65,-95,MCS7,54.1,0.875825,650.91,755.729260274,844.41,33.1122467391,0
21,3,1,Min 00,-67,65,-95,MCS7,56.9,0.898662,-67,65,-95,MCS7,50.5,0.844852,1.5,626.3495512821,851.55,243.8993508076,0.12
22,3,1,Min 01,-67,65,-95,MCS7,56.9,0.896508,-66,65,-95,MCS7,54.1,0.872134,633.65,758.7911740891,948.57,35.4729139675,0
23,3,1,Min 02,-78,39,-95,MCS4,24.2,0.698944,-79,39,-95,MCS4,23.8,0.678729,746.05,1787.0179578947,2341.39,191.7494468416,0.01
24,3,1,Min 03,-67,65,-95,MCS7,56.9,0.699361,-67,65,-95,MCS7,44.4,0.875644,673.14,754.4522755741,1047.67,37.8817928741,0
25,3,1,Min 04,-68,65,-95,MCS7,57.2,0.896549,-65,65,-95,MCS7,54.1,0.877065,647.95,755.0012655602,844.66,33.3030973952,0
26,3,1,Min 05,-68,65,-95,MCS7,56.9,0.89692,-67,65,-95,MCS7,54.1,0.873944,330.94,756.3948739496,1145.8,54.2365099111,0
27,3,1,Min 06,-67,65,-95,MCS7,56.9,0.896824,-66,65,-95,MCS7,54.1,0.880838,676.96,755.3881681034,858.38,33.0034411327,0
28,3,1,Min 07,-67,65,-95,MCS7,56.9,0.896974,-67,65,-95,MCS7,54.1,0.880832,331.27,789.1774537037,3706.32,319.1707553901,0.24
29,3,1,Min 08,-81,19.5,-95,MCS2,16.7,0.89728,-83,26,-95,MCS3,14.6,0.721465,631.4,2295.2688396625,3052.53,581.4751090886,0
30,3,1,Min 09,-68,65,-95,MCS7,56.9,0.896359,-68,65,-95,MCS7,45.6,0.879939,667.53,757.6433150685,846.63,33.003533812,0
31,4,1,Min 00,-67,65,-95,MCS7,56.1,0.906135,-68,65,-95,MCS7,52.9,0.833044,1.42,644.9546259843,890.58,228.0582235198,0.11
32,4,1,Min 01,-69,65,-95,MCS7,56.6,0.902546,-66,65,-95,MCS7,54.1,0.850812,661.35,757.1941152263,853.95,34.8433082407,0
33,4,1,Min 02,-84,19.5,-95,MCS2,12,0.727598,-85,19.5,-95,MCS2,13.2,0.675832,555.44,3194.9871052632,4371.13,427.4774197142,0.33
