@relation Results.Binary.Updated

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
39,-67,65,-95,MCS7,35,0.899279,-68,65,-95,MCS7,35,0.881017,-1,1.33,100.331921,714.13,152.727989,0,1
40,-67,65,-95,MCS7,56.9,0.901288,-67,65,-95,MCS7,54.9,0.881893,39.61125,665.72,752.916589,841.04,33.69645,0,0
41,-67,65,-95,MCS7,56.9,0.864634,-66,65,-95,MCS7,54.1,0.831099,43.841379,1.59,666.374501,865.59,214.46893,0.05,0
42,-67,65,-95,MCS7,56.9,0.897017,-67,65,-95,MCS7,51.1,0.867088,43.386667,658.21,757.575054,872.05,33.970371,0,0
43,-67,65,-95,MCS7,35,0.897873,-67,65,-95,MCS7,35,0.876161,37.784615,1.53,96.223341,786.76,106.000471,0,1
44,-68,65,-95,MCS7,56.9,0.909866,-68,65,-95,MCS7,54.1,0.890448,-1,170.21,736.238496,855.75,80.148243,0,0
45,-67,65,-95,MCS7,56.9,0.907094,-67,65,-95,MCS7,51.2,0.888391,43.336667,680.26,758.910769,844.4,32.399113,0,0
46,-67,65,-95,MCS7,57.2,0.905919,-67,65,-95,MCS7,54.9,0.887901,43.376667,658.34,750.846107,851.41,33.654458,0,0
47,-68,65,-95,MCS7,56.9,0.904974,-65,65,-95,MCS7,54.1,0.88691,43.76,675.69,757.787882,843.09,31.900308,0,0
48,-67,65,-95,MCS7,57.2,0.904008,-66,65,-95,MCS7,52,0.885825,43.306667,150.42,696.62222,851.31,182.928986,0,0
49,-67,65,-95,MCS7,35,0.90383,-67,65,-95,MCS7,35,0.886219,-1,1.58,201.325426,832.17,159.685938,0,1
50,-68,65,-95,MCS7,57.2,0.905686,-66,65,-95,MCS7,54.1,0.888144,43.858824,686.99,755.377305,860.03,32.304428,0,0
51,-69,65,-95,MCS7,56.3,0.89695,-67,65,-95,MCS7,54.9,0.879715,44.006897,20.38,662.428232,856.76,204.155161,0.09,0
52,-67,65,-95,MCS7,56.9,0.89689,-65,65,-95,MCS7,49.5,0.882977,43.516667,644.43,757.447053,877.51,35.600131,0,0
53,-68,65,-95,MCS7,56.9,0.89877,-66,65,-95,MCS7,54.1,0.884683,38.513333,238.88,461.532966,809.88,70.014522,0.03,1
54,-68,65,-95,MCS7,56.9,0.898498,-66,65,-95,MCS7,49.7,0.885225,43.533333,364.35,711.364184,839.19,89.425289,0,0
55,-67,65,-95,MCS7,57.2,0.898856,-67,65,-95,MCS7,50.9,0.885436,43.18,679.24,755.195693,840.55,31.38083,0,0
56,-67,65,-95,MCS7,56.9,0.899359,-66,65,-95,MCS7,54.1,0.884032,43.58,658.6,756.229176,848.19,33.721385,0,0
57,-67,65,-95,MCS7,57.2,0.899218,-67,65,-95,MCS7,54.1,0.883266,43.343333,669.28,758.912626,850.58,33.136797,0,0
58,-66,65,-95,MCS7,56.9,0.899283,-65,65,-95,MCS7,54.1,0.883398,43.396667,361.29,733.830365,871.67,84.891823,0.03,0
59,-67,65,-95,MCS7,56.9,0.899362,-67,65,-95,MCS7,54.1,0.883671,33.536667,262.56,411.683616,539.6,48.429129,0.02,1
60,-69,65,-95,MCS7,55,0.898913,-67,65,-95,MCS7,48.3,0.882964,43.083333,458.87,746.11197,857.13,66.59728,0,0
61,-67,65,-95,MCS7,56.9,0.897526,-68,65,-95,MCS7,52.9,0.831324,43.886207,1.48,646.081495,878.91,231.217437,0.08,0
62,-69,65,-95,MCS7,50.5,0.895307,-67,65,-95,MCS7,54.1,0.864413,43.696667,668.64,759.861551,858.36,35.606312,0,0
63,-67,65,-95,MCS7,54.4,0.896384,-67,65,-95,MCS7,52.7,0.87468,29.216667,298.44,419.378138,571.92,46.922876,0.02,1
64,-67,65,-95,MCS7,57.2,0.89633,-67,65,-95,MCS7,54.1,0.877265,42.256667,368.56,688.504456,861.46,130.961507,0,0
65,-68,65,-95,MCS7,56.6,0.895985,-68,65,-95,MCS7,54.1,0.877573,43.326667,679.54,756.982347,882.03,31.875935,0,0
66,-68,65,-95,MCS7,56.9,0.896296,-68,65,-95,MCS7,54.1,0.878382,43.403333,672.63,755.180656,906.51,33.43242,0,0
67,-67,65,-95,MCS7,56.9,0.896997,-65,65,-95,MCS7,54.1,0.878408,43.5,636.91,762.46846,853.86,33.622751,0,0
68,-67,65,-95,MCS7,56.6,0.89637,-68,65,-95,MCS7,52.7,0.87834,43.393333,247.07,714.281623,863.41,139.149704,0.05,0
69,-69,65,-95,MCS7,56.9,0.896273,-66,65,-95,MCS7,54.1,0.878615,24.43,259.49,355.645636,537.62,40.983529,0.01,1
70,-68,65,-95,MCS7,56.9,0.896485,-67,65,-95,MCS7,54.1,0.87852,42.04,545.14,748.05573,921.81,43.259496,0,0
71,-68,65,-95,MCS7,54.7,0.890904,-67,65,-95,MCS7,54.9,0.819813,44.110345,1.56,637.346017,866.35,233.876331,0.12,0
72,-68,65,-95,MCS7,57.2,0.895988,-65,65,-95,MCS7,53.4,0.874949,43.536667,667.13,754.469694,853.81,34.435999,0,0
73,-69,65,-95,MCS7,56.9,0.898382,-67,65,-95,MCS7,54.1,0.877586,18.703333,151.66,290.914273,761.1,61.248423,0.04,1
74,-67,65,-95,MCS7,56.9,0.898542,-68,65,-95,MCS7,54.1,0.878925,42.66,199.41,652.249318,844.78,197.731194,0,0
75,-67,65,-95,MCS7,56.9,0.8989,-68,65,-95,MCS7,54.1,0.880087,43.336667,660.88,756.341584,993.67,35.281315,0,0
76,-68,65,-95,MCS7,56.9,0.89891,-68,65,-95,MCS7,48.9,0.87986,43.416667,666.35,758.401858,853.5,32.155559,0,0
77,-67,65,-95,MCS7,56.9,0.898609,-68,65,-95,MCS7,49.4,0.879668,43.61,672.9,757.331961,852.47,33.476474,0,0
78,-68,65,-95,MCS7,56.9,0.898926,-68,65,-95,MCS7,54.1,0.880639,43.76,96.59,711.555975,842.71,148.23536,0.07,0
79,-67,65,-95,MCS7,56.9,0.899246,-67,65,-95,MCS7,54.1,0.880951,13.425,111.04,267.30337,368.05,35.286286,0,1
80,-67,65,-95,MCS7,56.9,0.899127,-66,65,-95,MCS7,54.1,0.881326,42.576667,252.59,688.678874,857.54,155.403278,0,0
81,-67,65,-95,MCS7,56.6,0.896284,-67,65,-95,MCS7,51.5,0.854809,44.065517,18.3,652.475652,850.16,203.675013,0.09,0
82,-68,65,-95,MCS7,56.9,0.901857,-66,65,-95,MCS7,50.9,0.877906,43.48,659.93,753.474535,874.89,34.742655,0,0
83,-67,65,-95,MCS7,52.9,0.900911,-67,65,-95,MCS7,44.4,0.877712,12.230333,1.5,59.839464,493.84,52.028626,0,1
