@relation attenuation

@attribute Test_ID numeric
@attribute Scenario numeric
@attribute Run numeric
@attribute Minute {Min00,Min01,Min02,Min03,Min04,Min05,Min06,Min07,Min08,Min09}
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std_Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
78,3,2,Min07,-68,65,-95,MCS7,53.1,0.897775,-67,65,-95,MCS7,54.9,0.884207,680.98,885.822611,3545.51,462.313534,0.01,0
79,3,2,Min08,-82,26,-95,MCS3,16.7,0.725113,-82,26,-95,MCS3,19.5,0.26306,559.03,2269.826278,3124.47,650.165542,0,1
80,3,2,Min09,-68,65,-95,MCS7,56.9,0.713715,-67,65,-95,MCS7,52.9,0.882939,662.47,750.48238,858.15,34.274156,0,0
81,4,2,Min00,-66,65,-95,MCS7,56.4,0.864105,-67,65,-95,MCS7,46.5,0.847913,1.62,655.767401,830.57,204.956535,0.06,0
82,4,2,Min01,-67,65,-95,MCS7,57.2,0.900156,-67,65,-95,MCS7,52.9,0.876697,658.84,755.146617,870.64,35.485163,0,0
83,4,2,Min02,-85,19.5,-95,MCS2,13.8,0.735929,-84,19.5,-95,MCS2,14.3,0.680569,784.26,3099.005727,3975.14,369.404788,0,1
84,4,2,Min03,-67,65,-95,MCS7,56.9,0.738606,-66,65,-95,MCS7,53.8,0.830889,674.18,754.15048,1138.08,43.064694,0,0
85,4,2,Min04,-67,65,-95,MCS7,56.7,0.899699,-67,65,-95,MCS7,54.1,0.882586,658.11,753.533074,854.8,32.029098,0,0
86,4,2,Min05,-67,65,-95,MCS7,56.9,0.899706,-65,65,-95,MCS7,54.1,0.859536,510.51,753.169202,948.92,38.622576,0,0
87,4,2,Min06,-68,65,-95,MCS7,56.9,0.899673,-67,65,-95,MCS7,54.1,0.884186,682.19,755.298051,844.72,30.509029,0,0
88,4,2,Min07,-68,65,-95,MCS7,56.9,0.899585,-67,65,-95,MCS7,54.1,0.885133,662,753.597364,850.33,31.705401,0,0
89,4,2,Min08,-86,6.5,-95,MCS0,5.6,0.877817,-85,13,-95,MCS1,4.8,0.714538,533.06,3927.607656,9978.11,1696.579927,0.88,1
90,4,2,Min09,-67,65,-95,MCS7,56.9,0.899267,-67,65,-95,MCS7,54.1,0.883828,667.35,755.479749,863.16,35.089805,0,0
91,5,2,Min00,-69,65,-95,MCS7,56.9,0.892936,-67,65,-95,MCS7,54.1,0.874104,1.58,657.42169,855.91,213.514019,0.06,0
92,5,2,Min01,-68,65,-95,MCS7,56.9,0.896497,-67,65,-95,MCS7,54.1,0.883736,669.17,756.602352,847.69,33.8372,0,0
93,5,2,Min02,-90,6.5,-95,MCS0,4.7,0.736776,-88,11,-95,11.0M,4.2,0.623789,717.91,6320.634135,14643.43,2955.871054,1.03,1
94,5,2,Min03,-68,65,-95,MCS7,57.2,0.73139,-67,65,-95,MCS7,54.1,0.604896,327.12,829.304224,8540.8,860.101647,0.36,0
95,5,2,Min04,-67,65,-95,MCS7,56.9,0.896285,-67,65,-95,MCS7,54.9,0.882743,661.24,753.139978,841.26,33.432632,0,0
96,5,2,Min05,-68,65,-95,MCS7,57.2,0.896983,-65,65,-95,MCS7,52.9,0.883287,664.39,753.936627,855.53,34.064949,0,0
97,5,2,Min06,-67,65,-95,MCS7,56.9,0.897369,-67,65,-95,MCS7,54.9,0.884103,629.56,755.595513,875.22,35.796532,0,0
98,5,2,Min07,-67,65,-95,MCS7,55.3,0.897516,-67,65,-95,MCS7,54.1,0.884011,397.47,756.302874,1018,46.51377,0,0
99,5,2,Min08,-90,5.5,-95,5.5M,2.4,0.606098,-90,5.5,-95,5.5M,2.7,0.774307,164.66,5435.742526,24607.22,4803.460856,1.87,1
100,5,2,Min09,-67,65,-95,MCS7,57.2,0.625383,-67,65,-95,MCS7,2.8,0.787059,590.75,737.153901,857.59,50.993002,0,0
101,1,3,Min00,-66,65,-95,MCS7,56.9,0.894959,-67,65,-95,MCS7,54.1,0.87786,1.51,637.099526,867.05,231.583057,0.1,0
102,1,3,Min01,-68,65,-95,MCS7,56.9,0.899124,-66,65,-95,MCS7,54.9,0.886601,666.8,753.258706,860.95,33.567592,0,0
103,1,3,Min02,-70,65,-95,MCS7,49.5,0.886127,-69,58.5,-95,MCS6,47.4,0.834668,369.45,855.449842,1264.61,90.703255,0,1
104,1,3,Min03,-68,65,-95,MCS7,56.3,0.880889,-67,65,-95,MCS7,54.1,0.861334,652.62,754.042811,845.18,32.919589,0,0
105,1,3,Min04,-67,65,-95,MCS7,57.2,0.885687,-67,65,-95,MCS7,54.1,0.868807,657.12,752.219056,869.42,32.016139,0,0
106,1,3,Min05,-67,65,-95,MCS7,56.6,0.888948,-67,65,-95,MCS7,54.9,0.854235,651.54,755.710629,833.45,32.301733,0,0
107,1,3,Min06,-69,65,-95,MCS7,56.9,0.890554,-67,65,-95,MCS7,52.9,0.874043,669.2,755.625688,873.81,33.734781,0,0
108,1,3,Min07,-67,65,-95,MCS7,56.9,0.891742,-67,65,-95,MCS7,54.1,0.875747,651.51,773.220021,1249.88,74.929645,0,0
109,1,3,Min08,-71,58.5,-95,MCS6,46.3,0.871887,-71,52,-95,MCS5,41.9,0.804997,686.68,990.691341,1542.01,114.628499,0,1
110,1,3,Min09,-67,65,-95,MCS7,57.2,0.867435,-67,65,-95,MCS7,48.6,0.868582,613.64,755.048848,843.91,34.948614,0,0
111,2,3,Min00,-68,65,-95,MCS7,56.7,0.899353,-67,65,-95,MCS7,54.1,0.880753,1.44,652.348401,842.09,220.397904,0.09,0
112,2,3,Min01,-68,65,-95,MCS7,56.9,0.898225,-67,65,-95,MCS7,54.9,0.876158,595.51,756.201,1041.93,41.188976,0,0
113,2,3,Min02,-73,52,-95,MCS5,42.1,0.829556,-73,52,-95,MCS5,32.5,0.750271,744.77,1163.903825,1461.82,98.529045,0,1
114,2,3,Min03,-67,65,-95,MCS7,56.3,0.827684,-67,65,-95,MCS7,54.9,0.867506,670.11,761.667824,923.3,35.428389,0,0
115,2,3,Min04,-67,65,-95,MCS7,56.9,0.895085,-66,65,-95,MCS7,49.8,0.870673,674.51,756.799934,854.86,33.153165,0,0
116,2,3,Min05,-67,65,-95,MCS7,56.9,0.895824,-66,65,-95,MCS7,50.3,0.872883,667.55,755.103151,861.39,33.142912,0,0
117,2,3,Min06,-67,65,-95,MCS7,54.7,0.896477,-67,65,-95,MCS7,54,0.873946,671.69,758.493499,856.67,32.065375,0,0
118,2,3,Min07,-67,65,-95,MCS7,56.9,0.897068,-67,65,-95,MCS7,54,0.875563,578.56,803.844464,2377.41,214.793484,0.02,0
119,2,3,Min08,-76,39,-95,MCS4,33.2,0.897402,-77,39,-95,MCS4,31.4,0.711427,699.78,1351.065427,2053.42,232.141757,0,1
120,2,3,Min09,-67,65,-95,MCS7,56.9,0.895904,-66,65,-95,MCS7,48.8,0.87566,667.1,756.337311,849.36,32.098894,0,0
121,3,3,Min00,-67,65,-95,MCS7,56.9,0.89673,-68,65,-95,MCS7,54.9,0.867065,1.26,625.930783,845.18,239.523586,0.07,0
122,3,3,Min01,-68,65,-95,MCS7,56.9,0.899476,-67,65,-95,MCS7,49.8,0.880924,667.63,755.138124,837.03,32.702045,0,0
123,3,3,Min02,-78,39,-95,MCS4,24.1,0.689442,-79,26,-95,MCS3,17.2,0.663977,696.39,1796.169821,2438.23,281.11337,0,1
124,3,3,Min03,-67,65,-95,MCS7,24.2,0.6881,-68,65,-95,MCS7,54.1,0.878912,674.67,757.299167,850.9,32.975358,0,0
125,3,3,Min04,-67,65,-95,MCS7,56.9,0.896767,-68,65,-95,MCS7,54.1,0.879215,661.45,756.397106,853.42,34.627544,0,0
126,3,3,Min05,-67,65,-95,MCS7,56.9,0.897468,-65,65,-95,MCS7,53.4,0.880779,668.13,756.158246,869.51,33.044951,0,0
127,3,3,Min06,-67,65,-95,MCS7,56.9,0.897887,-67,65,-95,MCS7,53.1,0.881169,666.39,755.328117,850.11,33.287988,0,0
128,3,3,Min07,-67,65,-95,MCS7,57.2,0.898025,-65,65,-95,MCS7,51.5,0.881632,432.55,817.595079,3856.72,350.63461,0.24,0
129,3,3,Min08,-82,19.5,-95,MCS2,16.7,0.807251,-82,19.5,-95,MCS2,16.6,0.224961,679.33,2232.997629,3158.01,639.69892,0,1
130,3,3,Min09,-68,65,-95,MCS7,57.2,0.897192,-67,65,-95,MCS7,54.1,0.879318,654.92,756.636475,862.89,36.612682,0,0
131,4,3,Min00,-67,65,-95,MCS7,54.6,0.898275,-68,65,-95,MCS7,54.1,0.868434,1.52,638.081744,871.22,227.13449,0.03,0
132,4,3,Min01,-67,65,-95,MCS7,52.9,0.901525,-68,65,-95,MCS7,49.2,0.88062,676.09,758.351258,872.96,33.701252,0,0
133,4,3,Min02,-84,19.5,-95,MCS2,11.7,0.693857,-83,19.5,-95,MCS2,10,0.689216,691.14,2724.701238,3983.63,525.632992,0.23,1
134,4,3,Min03,-67,65,-95,MCS7,12.9,0.719828,-67,65,-95,MCS7,9.1,0.784044,650.55,865.404475,3512.84,487.605753,0,0
135,4,3,Min04,-67,65,-95,MCS7,56.7,0.897964,-68,65,-95,MCS7,54.9,0.877223,653.76,760.255455,868.4,33.849908,0,0
136,4,3,Min05,-67,65,-95,MCS7,56.9,0.898187,-65,65,-95,MCS7,52.4,0.877447,653.92,755.387304,857.27,33.690709,0,0
137,4,3,Min06,-67,65,-95,MCS7,56.9,0.898314,-65,65,-95,MCS7,50.8,0.878089,658.54,758.073845,869.57,34.44412,0,0
138,4,3,Min07,-67,65,-95,MCS7,55,0.898523,-68,65,-95,MCS7,49.5,0.878404,673.41,756.946345,847.4,33.335918,0,0
139,4,3,Min08,-87,6.5,-95,MCS0,5.6,0.810811,-87,13,-95,MCS1,5.1,0.713002,515.38,4707.325771,9434.64,2051.140063,0.49,1
140,4,3,Min09,-67,65,-95,MCS7,56.9,0.89818,-87,65,-95,MCS7,8.2,0.686807,611.73,747.663807,828.37,32.538746,0,0
141,5,3,Min00,-67,65,-95,MCS7,56.3,0.9017,-68,65,-95,MCS7,54.1,0.854208,1.42,632.153416,864.2,237.061124,0.12,0
142,5,3,Min01,-67,65,-95,MCS7,53.8,0.897931,-66,65,-95,MCS7,54.9,0.882334,674.45,761.168786,851.76,33.726216,0,0
143,5,3,Min02,-89,6.5,-95,MCS0,4.2,0.710337,-87,6.5,-95,MCS0,3.3,0.575472,743.69,7826.80893,15737.68,3115.494442,0.95,1
144,5,3,Min03,-67,65,-95,MCS7,56.9,0.702171,-65,65,-95,MCS7,41.9,0.87989,293.64,923.849792,6215.78,806.918341,0,0
145,5,3,Min04,-67,65,-95,MCS7,56.9,0.898473,-67,65,-95,MCS7,54.6,0.88017,669.19,758.024091,866.64,34.489436,0,0
146,5,3,Min05,-68,65,-95,MCS7,56.9,0.89827,-66,65,-95,MCS7,52.9,0.880419,660.35,753.421797,837.78,32.133713,0,0
147,5,3,Min06,-67,65,-95,MCS7,56.9,0.898302,-67,65,-95,MCS7,54.1,0.880445,650.8,756.269345,852.07,34.06343,0,0
148,5,3,Min07,-68,65,-95,MCS7,56.9,0.898357,-65,65,-95,MCS7,50.9,0.880611,665.34,756.387912,859.66,34.634155,0,0
149,5,3,Min08,-89,5.5,-95,5.5M,1.9,0.698379,-90,5.5,-95,5.5M,2.7,0.493333,306.55,9985.234064,28515.76,9609.049023,2.49,1
150,5,3,Min09,-67,65,-95,MCS7,56.9,0.68195,-68,65,-95,MCS7,47.6,0.878999,488,633.385468,817.15,78.322202,0,0
151,1,4,Min00,-67,65,-95,MCS7,57.2,0.898988,-67,65,-95,MCS7,48,0.839433,1.32,654.263794,889.27,220.929722,0.09,0
152,1,4,Min01,-67,65,-95,MCS7,56.6,0.900242,-67,65,-95,MCS7,54.9,0.841863,646.63,754.37306,878.06,36.044451,0,0
153,1,4,Min02,-68,58.5,-95,MCS6,48.9,0.892736,-68,65,-95,MCS7,48.9,0.84219,452.12,866.534712,1140.12,69.113045,0,1
154,1,4,Min03,-68,65,-95,MCS7,56.9,0.886509,-67,65,-95,MCS7,54.1,0.839713,660.58,760.00786,850.73,34.448681,0,0
155,1,4,Min04,-67,65,-95,MCS7,56.9,0.889723,-67,65,-95,MCS7,54.1,0.85089,669.61,757.667899,843.45,33.670744,0,0
156,1,4,Min05,-67,65,-95,MCS7,56.9,0.892041,-67,65,-95,MCS7,54.9,0.857816,657.83,758.745612,858.57,36.16595,0,0
157,1,4,Min06,-68,65,-95,MCS7,51.7,0.893791,-67,65,-95,MCS7,54.1,0.861446,678.49,762.098142,854.01,32.255833,0,0
