Test ID,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss,Label
343,-90,6.5,-95,MCS0,4.7,0.736776,-88,11,-95,11.0M,4.2,0.623789,717.91,6320.6341346154,14643.43,2955.8710543432,1.03,0
344,-68,65,-95,MCS7,57.2,0.73139,-67,65,-95,MCS7,54.1,0.604896,327.12,829.3042239686,8540.8,860.1016471677,0.36,0
345,-67,65,-95,MCS7,56.9,0.896285,-67,65,-95,MCS7,54.9,0.882743,661.24,753.1399784017,841.26,33.4326320106,0,0
346,-68,65,-95,MCS7,57.2,0.896983,-65,65,-95,MCS7,52.9,0.883287,664.39,753.9366272189,855.53,34.0649490143,0,0
347,-67,65,-95,MCS7,56.9,0.897369,-67,65,-95,MCS7,54.9,0.884103,629.56,755.5955130785,875.22,35.7965319941,0,0
348,-67,65,-95,MCS7,55.3,0.897516,-67,65,-95,MCS7,54.1,0.884011,397.47,756.3028738318,1018,46.5137702544,0,0
349,-90,5.5,-95,5.5M,2.4,0.606098,-90,5.5,-95,5.5M,2.7,0.774307,164.66,5435.7425258799,24607.22,4803.4608563579,1.87,0
350,-67,65,-95,MCS7,57.2,0.625383,-67,65,-95,MCS7,2.8,0.787059,590.75,737.1539013453,857.59,50.993001881,0,0
351,-66,65,-95,MCS7,56.9,0.894959,-67,65,-95,MCS7,54.1,0.87786,1.51,637.0995258621,867.05,231.5830568594,0.1,0
352,-68,65,-95,MCS7,56.9,0.899124,-66,65,-95,MCS7,54.9,0.886601,666.8,753.2587061404,860.95,33.5675918117,0,0
353,-70,65,-95,MCS7,49.5,0.886127,-69,58.5,-95,MCS6,47.4,0.834668,369.45,855.4498423423,1264.61,90.7032549041,0,0
354,-68,65,-95,MCS7,56.3,0.880889,-67,65,-95,MCS7,54.1,0.861334,652.62,754.0428111588,845.18,32.9195885506,0,0
355,-67,65,-95,MCS7,57.2,0.885687,-67,65,-95,MCS7,54.1,0.868807,657.12,752.2190561798,869.42,32.0161388939,0,0
356,-67,65,-95,MCS7,56.6,0.888948,-67,65,-95,MCS7,54.9,0.854235,651.54,755.7106290672,833.45,32.3017333879,0,0
357,-69,65,-95,MCS7,56.9,0.890554,-67,65,-95,MCS7,52.9,0.874043,669.2,755.6256884876,873.81,33.7347809099,0,0
358,-67,65,-95,MCS7,56.9,0.891742,-67,65,-95,MCS7,54.1,0.875747,651.51,773.2200214133,1249.88,74.9296445982,0,0
359,-71,58.5,-95,MCS6,46.3,0.871887,-71,52,-95,MCS5,41.9,0.804997,686.68,990.6913406593,1542.01,114.6284988238,0,0
360,-67,65,-95,MCS7,57.2,0.867435,-67,65,-95,MCS7,48.6,0.868582,613.64,755.0488481675,843.91,34.9486135526,0,0
361,-68,65,-95,MCS7,56.7,0.899353,-67,65,-95,MCS7,54.1,0.880753,1.44,652.3484009547,842.09,220.397903783,0.09,0
362,-68,65,-95,MCS7,56.9,0.898225,-67,65,-95,MCS7,54.9,0.876158,595.51,756.201,1041.93,41.1889761293,0,0
363,-73,52,-95,MCS5,42.1,0.829556,-73,52,-95,MCS5,32.5,0.750271,744.77,1163.9038253638,1461.82,98.5290451215,0,0
364,-67,65,-95,MCS7,56.3,0.827684,-67,65,-95,MCS7,54.9,0.867506,670.11,761.6678241758,923.3,35.4283885533,0,0
365,-67,65,-95,MCS7,56.9,0.895085,-66,65,-95,MCS7,49.8,0.870673,674.51,756.7999339207,854.86,33.1531652995,0,0
366,-67,65,-95,MCS7,56.9,0.895824,-66,65,-95,MCS7,50.3,0.872883,667.55,755.1031506849,861.39,33.1429122244,0,0
367,-67,65,-95,MCS7,54.7,0.896477,-67,65,-95,MCS7,54,0.873946,671.69,758.493499044,856.67,32.0653750731,0,0
368,-67,65,-95,MCS7,56.9,0.897068,-67,65,-95,MCS7,54,0.875563,578.56,803.8444635193,2377.41,214.7934835306,0.02,0
369,-76,39,-95,MCS4,33.2,0.897402,-77,39,-95,MCS4,31.4,0.711427,699.78,1351.0654274354,2053.42,232.1417569766,0,0
370,-67,65,-95,MCS7,56.9,0.895904,-66,65,-95,MCS7,48.8,0.87566,667.1,756.3373113208,849.36,32.0988939346,0,0
371,-67,65,-95,MCS7,56.9,0.89673,-68,65,-95,MCS7,54.9,0.867065,1.26,625.9307834101,845.18,239.5235858437,0.07,0
372,-68,65,-95,MCS7,56.9,0.899476,-67,65,-95,MCS7,49.8,0.880924,667.63,755.1381237911,837.03,32.7020445915,0,0
373,-78,39,-95,MCS4,24.1,0.689442,-79,26,-95,MCS3,17.2,0.663977,696.39,1796.1698206278,2438.23,281.1133700583,0,0
374,-67,65,-95,MCS7,24.2,0.6881,-68,65,-95,MCS7,54.1,0.878912,674.67,757.2991666667,850.9,32.9753582829,0,0
375,-67,65,-95,MCS7,56.9,0.896767,-68,65,-95,MCS7,54.1,0.879215,661.45,756.397106383,853.42,34.6275441116,0,0
376,-67,65,-95,MCS7,56.9,0.897468,-65,65,-95,MCS7,53.4,0.880779,668.13,756.1582463466,869.51,33.0449505182,0,0
377,-67,65,-95,MCS7,56.9,0.897887,-67,65,-95,MCS7,53.1,0.881169,666.39,755.3281165049,850.11,33.2879875495,0,0
378,-67,65,-95,MCS7,57.2,0.898025,-65,65,-95,MCS7,51.5,0.881632,432.55,817.5950790068,3856.72,350.6346101936,0.24,0
379,-82,19.5,-95,MCS2,16.7,0.807251,-82,19.5,-95,MCS2,16.6,0.224961,679.33,2232.9976294821,3158.01,639.6989200676,0,0
380,-68,65,-95,MCS7,57.2,0.897192,-67,65,-95,MCS7,54.1,0.879318,654.92,756.6364751958,862.89,36.6126822946,0,0
381,-67,65,-95,MCS7,54.6,0.898275,-68,65,-95,MCS7,54.1,0.868434,1.52,638.081744186,871.22,227.1344895164,0.03,0
382,-67,65,-95,MCS7,52.9,0.901525,-68,65,-95,MCS7,49.2,0.88062,676.09,758.351257732,872.96,33.7012521757,0,0
383,-84,19.5,-95,MCS2,11.7,0.693857,-83,19.5,-95,MCS2,10,0.689216,691.14,2724.7012383178,3983.63,525.6329919757,0.23,0
384,-67,65,-95,MCS7,12.9,0.719828,-67,65,-95,MCS7,9.1,0.784044,650.55,865.4044748858,3512.84,487.6057529357,0,0
385,-67,65,-95,MCS7,56.7,0.897964,-68,65,-95,MCS7,54.9,0.877223,653.76,760.2554545455,868.4,33.8499081398,0,0
386,-67,65,-95,MCS7,56.9,0.898187,-65,65,-95,MCS7,52.4,0.877447,653.92,755.3873036093,857.27,33.6907087079,0,0
387,-67,65,-95,MCS7,56.9,0.898314,-65,65,-95,MCS7,50.8,0.878089,658.54,758.0738445378,869.57,34.4441197572,0,0
388,-67,65,-95,MCS7,55,0.898523,-68,65,-95,MCS7,49.5,0.878404,673.41,756.9463452915,847.4,33.3359179076,0,0
