TestID,AP_RSSI,AP_TxRate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_TxRate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,iPerf_Throughput,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std.Dev,GoPing_Loss,Label 
217,-67,65,-95,MCS7,56.6,0.897151,43.55,-67,65,-95,MCS7,51.5,0.879419,619.75,758.8829534884,1104.25,45.1794544875,0,0
218,-67,65,-95,MCS7,57.2,0.897434,43.216667,-67,65,-95,MCS7,49.1,0.87918,671.07,828.3953828306,2130.51,226.8930462067,0,0
219,-76,39,-95,MCS4,32.3,0.897721,23.386667,-75,39,-95,MCS4,20.5,0.706049,705.54,1366.5082365145,1789.25,216.2635685571,0,1
220,-67,65,-95,MCS7,33.7,0.896092,42.67,-68,65,-95,MCS7,54.1,0.794563,663.65,757.1521179625,847.64,34.3938766928,0,0
221,-67,65,-95,MCS7,56.9,0.897573,43.934483,-67,65,-95,MCS7,54.1,0.855484,1.45,641.8644375,845.92,226.4875427252,0.09,0
222,-67,65,-95,MCS7,57.2,0.898226,43.256667,-67,65,-95,MCS7,50.5,0.873271,684.98,760.1155645161,854.78,32.6315526741,0,0
223,-78,39,-95,MCS4,22.4,0.660023,17.982,-78,39,-95,MCS4,24.5,0.67366,713.38,1910.1121290323,2576.86,256.2665125845,0,1
224,-67,65,-95,MCS7,22.4,0.893458,41.91,-68,65,-95,MCS7,27.4,0.677687,643.03,785.4287576375,2280.34,160.5466054061,0,0
225,-68,65,-95,MCS7,54.4,0.894001,43.476667,-67,65,-95,MCS7,54.1,0.870189,675.42,756.9305714286,872.98,33.8654498399,0,0
226,-68,65,-95,MCS7,55.2,0.895923,43.536667,-66,65,-95,MCS7,53.2,0.872358,664.88,753.3079454927,843.41,32.9745968607,0,0
227,-67,65,-95,MCS7,56.9,0.896865,43.34,-67,65,-95,MCS7,54.1,0.87409,657.89,757.0706903766,866.28,34.2152190278,0,0
228,-68,65,-95,MCS7,56.9,0.897268,43.28,-65,65,-95,MCS7,54.1,0.874784,652.93,849.8694050343,3589.96,421.9793652249,0,0
229,-82,19.5,-95,MCS2,16.7,0.875577,13.647333,-81,19.5,-95,MCS2,16.3,0.718761,686.53,2378.8864666667,3090.49,609.8150209959,0.01,1
230,-67,65,-95,MCS7,57.2,0.896493,42.02,-68,65,-95,MCS7,54.1,0.87382,454.15,754.3056712329,973.67,44.0384086956,0,0
231,-68,65,-95,MCS7,54.9,0.899807,43.782759,-67,65,-95,MCS7,48.9,0.830083,1.61,647.1885744681,869.66,228.9175385292,0.07,0
232,-67,65,-95,MCS7,56.9,0.89802,43.443333,-67,65,-95,MCS7,54.1,0.852701,628.6,753.9248344371,844.07,34.5862150541,0,0
233,-84,19.5,-95,MCS2,13.8,0.70655,10.591667,-85,19.5,-95,MCS2,11.4,0.697025,705.94,3006.5408541667,4398.52,729.7390407356,0.13,1
234,-67,65,-95,MCS7,56.9,0.71812,42.48,-66,65,-95,MCS7,52.7,0.864376,652.05,753.1945744681,857.97,32.2913003193,0,0
235,-68,65,-95,MCS7,56.9,0.897913,43.423333,-65,65,-95,MCS7,54.1,0.867806,678.28,759.0916293279,851.35,32.6828567673,0,0
236,-67,65,-95,MCS7,57.2,0.89848,43.5,-67,65,-95,MCS7,48.9,0.870057,643.13,754.7846993318,850.92,33.9055336682,0,0
237,-68,65,-95,MCS7,56.9,0.898912,43.356667,-65,65,-95,MCS7,54.9,0.87183,675.02,756.5294117647,863.07,34.0937293585,0,0
238,-68,65,-95,MCS7,56.9,0.898938,43.656667,-66,65,-95,MCS7,54.1,0.872883,667.4,843.9374874372,8857.06,809.5117739937,0.01,0
239,-87,6.5,-95,MCS1,5.6,0.61783,5.713793,-87,13,-95,MCS1,6.7,0.693472,691.26,5261.0649718574,10203.94,2209.6878960082,0.13,1
240,-67,65,-95,MCS7,57.2,0.606098,42.153667,-67,65,-95,MCS7,49.4,0.857348,660.33,757.9782507289,856.65,33.0612581333,0,0
241,-68,65,-95,MCS7,56.9,0.893703,43.610345,-67,65,-95,MCS7,48.9,0.868217,1.62,645.6389955357,989.54,223.7819754788,0.08,0
242,-68,65,-95,MCS7,57.2,0.894069,43.6,-68,65,-95,MCS7,54.9,0.869602,534.15,758.9946466809,916.8,39.712707264,0,0
243,-88,5.5,-95,5.5M,3.5,0.626543,3.948667,-89,6.5,-95,11.0M,3.6,0.543877,561.21,8453.6323908524,14608.49,4087.9558035534,0.25,1
244,-69,65,-95,MCS7,57.2,0.695463,42.623333,-68,65,-95,MCS7,53.1,0.864691,652.12,760.2145020747,885.61,34.7889790858,0,0
245,-69,65,-95,MCS7,57.2,0.897138,43.41,-67,65,-95,MCS7,49.1,0.867897,660.64,755.3063516484,855.31,33.6317461273,0,0
246,-67,65,-95,MCS7,56.9,0.897362,43.376667,-66,65,-95,MCS7,48.3,0.860608,665.27,759.5131590414,867.45,35.8825979549,0,0
247,-68,65,-95,MCS7,57.2,0.897865,43.376667,-67,65,-95,MCS7,51.5,0.86894,608.66,754.9556756757,840.03,34.145115521,0,0
248,-68,65,-95,MCS7,54.3,0.897878,-1,-65,65,-95,MCS7,48.3,0.870581,676.78,810.3519647355,10770.52,707.2759819259,0.01,0
