Test ID,AP_RSSI,AP_Tx_Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,iPerf_Throughput,Client_RSSI,Client_Tx_Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std_Dev,GoPing_Loss,Label
526,-68,54,-95,MCS7,56.4,0.881902,43.356667,-68,65,-95,MCS7,52,0.857941,648.37,755.05375,852.24,32.116966038,0,0
527,-74,54,-95,MCS7,56.9,0.885116,43.24,-67,65,-95,MCS7,54.1,0.830596,669.28,760.4553319058,932.21,35.5449574912,0,0
528,-72,54,-95,MCS7,46.6,0.805156,32.306667,-63,65,-95,MCS7,43.9,0.8387,837.03,1055.4180044843,1291.58,80.1733206707,0,1
529,-73,54,-95,MCS7,45.6,0.797499,41.923333,-67,65,-95,MCS7,54.1,0.85539,672.93,755.6067755991,827.59,31.4963408612,0,0
530,-74,48,-95,MCS7,56.9,0.879935,43.343333,-67,65,-95,MCS7,48.6,0.857514,681.22,760.105042735,846.73,32.838166427,0,0
531,-71,48,-95,MCS7,55,0.898028,43.858621,-67,65,-95,MCS7,52.7,0.883026,1.09,629.8147098214,867.7,238.3309224163,0.14,0
532,-74,48,-95,MCS7,56.9,0.898627,43.56,-67,65,-95,MCS7,54.1,0.866298,347.16,755.6263481953,975.88,50.8746582166,0,0
533,-68,48,-95,MCS7,56.9,0.900057,43.466667,-67,65,-95,MCS7,52,0.867403,469.79,756.3126590909,1064.76,49.0673311053,0,0
534,-72,54,-95,MCS7,45.1,0.784099,29.98,-66,65,-95,MCS7,42.1,0.824935,718.86,1123.6757362637,1357.35,95.8427156086,0,1
535,-73,48,-95,MCS7,56.9,0.780972,41.893333,-65,65,-95,MCS7,54.1,0.845586,672.85,773.2115306122,1193.5,66.3220698446,0,0
536,-67,48,-95,MCS7,56.9,0.880099,43.44,-66,65,-95,MCS7,54.9,0.849549,658.54,754.3771784232,847.78,31.6611815205,0,0
537,-67,48,-95,MCS7,56.9,0.883775,43.62,-67,65,-95,MCS7,52.9,0.855078,659.67,756.3125121951,904.07,36.718155857,0,0
538,-72,48,-95,MCS7,46.2,0.880662,30.336667,-67,65,-95,MCS7,54.1,0.852831,859.89,1121.8606458797,1343.31,82.1409866076,0,1
539,-73,48,-95,MCS7,56.9,0.768331,41.866667,-67,65,-95,MCS7,43.1,0.813846,588.24,755.8492066806,913.79,40.9902218468,0,0
540,-74,48,-95,MCS7,56.9,0.877728,43.71,-68,65,-95,MCS7,48.3,0.819524,633.23,753.3300239234,877.3,37.0766358646,0,0
541,-69,48,-95,MCS7,35,0.900996,43.941379,-67,65,-95,MCS7,48.3,0.744361,1.38,637.2078935698,1101.76,245.3763268827,0.1,0
542,-71,48,-95,MCS7,57.2,0.902033,43.393333,-65,65,-95,MCS7,54.1,0.872428,673.02,756.6135034803,846.34,32.0128120599,0,0
543,-69,48,-95,MCS7,56.9,0.901792,43.443333,-68,65,-95,MCS7,55.6,0.879219,679.87,753.8172557173,857.78,33.1428158547,0,0
544,-73,48,-95,MCS7,41.3,0.770639,28.36,-68,65,-95,MCS7,44.4,0.862967,824.08,1196.3038235294,1434.04,97.4542873257,0,1
545,-72,54,-95,MCS7,56.9,0.875514,42.013333,-66,65,-95,MCS7,44.2,0.855082,656.47,769.1143487395,1248,84.5141133743,0,0
546,-75,54,-95,MCS7,56.9,0.879968,43.473333,-68,65,-95,MCS7,54.1,0.859804,629.18,758.4618224299,861.9,34.1131263133,0,0
