1	 2.19
2	 2.16
3	 2.17
4	 2.07
5	 2.16
6	 2.13
7	 2.15
8	 3.14
9	 2.16
10	 2.16
11	 2.10
12	 2.16
13	 2.16
14	 2.12
15	 2.11
16	 2.15
17	 2.16
18	 2.16
19	 2.18
20	 2.15
21	 2.80
22	 2.17
23	 2.17
24	 2.16
25	 3.32
26	 3.26
27	 2.11
28	 2.10
29	 2.16
30	 2.16
31	 2.11
32	 2.16
33	 2.16
34	 3.25
35	 2.09
36	 2.11
37	 2.16
38	 2.10
39	 2.17
40	 2.15
41	 4.40
42	 2.08
43	 2.15
44	 2.17
45	 2.16
46	 3.24
47	 3.25
48	 2.16
49	 2.10
50	 2.29
51	 2.07
52	 2.07
53	 2.16
54	 2.11
55	 2.15
56	 2.16
57	 2.16
58	 2.11
59	 2.11
60	 2.16
61	 2.15
62	 2.10
63	 2.16
64	 2.11
65	 3.17
66	 2.11
67	 2.15
68	 2.15
69	 2.17
70	 4.51
71	 3.44
72	 2.11
73	 2.08
74	 2.11
75	 2.13
76	 2.07
77	 2.11
78	 2.16
79	 2.11
80	 2.15
81	 2.15
82	 2.10
83	 2.16
84	 3.28
85	 2.11
86	 2.15
87	 2.06
88	 4.62
89	 2.16
90	 1.65
91	 2.16
92	 2.11
93	 2.14
94	 2.15
95	 2.11
96	 2.14
97	 2.10
98	 2.15
99	 2.11
100	 2.57
101	 2.18
102	 2.11
103	 3.27
104	 2.11
105	 2.16
106	 2.07
107	 3.27
108	 2.15
109	 2.15
110	 2.44
111	 2.08
112	 2.07
113	 2.13
114	 2.15
115	 2.14
116	 2.16
117	 2.15
118	 2.14
119	 2.15
120	 2.17
121	 2.10
122	 3.17
123	 2.15
124	 2.17
125	 2.16
126	 3.39
127	 2.15
128	 2.11
129	 2.15
130	 2.16
131	 2.15
132	 2.15
133	 2.15
134	 2.15
135	 2.11
136	 2.10
137	 2.16
138	 1.66
139	 1.82
140	 2.13
141	 2.05
142	 2.16
143	 3.19
144	 2.15
145	 2.16
146	 2.16
147	 2.15
148	 2.00
149	 2.12
150	 2.15
151	 2.16
152	 2.10
153	 2.16
154	 2.16
155	 2.15
156	 2.15
157	 2.10
158	 2.15
159	 2.16
160	 3.24
161	 2.15
162	 3.26
163	 2.10
164	 2.15
165	 2.17
166	 2.16
167	 2.15
168	 2.10
169	 2.15
170	 2.10
171	 2.15
172	 2.16
173	 2.15
174	 2.10
175	 2.09
176	 2.15
177	 2.15
178	 2.15
179	 3.18
180	 3.22
181	 2.13
182	 2.15
183	 2.11
184	 2.15
185	 2.10
186	 2.15
187	 2.16
188	 2.15
189	 2.16
190	 2.15
191	 2.14
192	 1.98
193	 2.10
194	 2.15
195	 2.14
196	 2.08
197	 2.15
198	 2.10
199	 4.29
200	 2.15
201	 2.11
202	 2.16
203	 2.16
204	 2.15
205	 2.11
206	 2.10
207	 2.14
208	 2.11
209	 2.11
210	 2.14
211	 2.17
212	 2.15
213	 2.18
214	 2.07
215	 2.15
216	 2.35
217	 1.88
218	 3.20
219	 2.15
220	 2.15
221	 2.16
222	 2.11
223	 2.15
224	 3.20
225	 2.15
226	 2.15
227	 3.34
228	 2.15
229	 2.17
230	 2.15
231	 2.10
232	 2.15
233	 3.81
234	 2.15
235	 3.17
236	 2.15
237	 2.10
238	 2.08
239	 2.16
240	 2.09
241	 2.17
242	 2.15
243	 2.97
244	 2.44
245	 2.19
246	 2.15
247	 2.15
248	 2.15
249	 2.15
250	 2.11
251	 3.16
252	 2.10
253	 2.15
254	 2.15
255	 3.82
256	 2.16
257	 2.16
258	 2.11
259	 2.75
260	 2.18
261	 2.10
262	 2.58
263	 2.15
264	 2.11
265	 2.15
266	 2.10
267	 2.17
268	 2.15
